date,code,name,weight,strategy_weight,position_scale
2021-09-29,162411.SZ,华宝油气,0.25,0.5,0.5
2021-09-29,164824.SZ,印度,0.25,0.5,0.5
2021-09-30,162411.SZ,华宝油气,0.25,0.5,0.5
2021-09-30,164824.SZ,印度,0.25,0.5,0.5
2021-10-08,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-08,164824.SZ,印度,0.25,0.5,0.5
2021-10-11,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-11,164824.SZ,印度,0.25,0.5,0.5
2021-10-12,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-12,164824.SZ,印度,0.25,0.5,0.5
2021-10-13,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-13,164824.SZ,印度,0.25,0.5,0.5
2021-10-14,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-14,164824.SZ,印度,0.25,0.5,0.5
2021-10-15,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-15,164824.SZ,印度,0.25,0.5,0.5
2021-10-18,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-18,164824.SZ,印度,0.25,0.5,0.5
2021-10-19,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-19,164824.SZ,印度,0.25,0.5,0.5
2021-10-20,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-20,164824.SZ,印度,0.25,0.5,0.5
2021-10-21,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-21,164824.SZ,印度,0.25,0.5,0.5
2021-10-22,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-22,164824.SZ,印度,0.25,0.5,0.5
2021-10-25,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-25,159949.SZ,创业板50,0.25,0.5,0.5
2021-10-26,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-26,159949.SZ,创业板50,0.25,0.5,0.5
2021-10-27,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-27,159949.SZ,创业板50,0.25,0.5,0.5
2021-10-28,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-28,159949.SZ,创业板50,0.25,0.5,0.5
2021-10-29,162411.SZ,华宝油气,0.25,0.5,0.5
2021-10-29,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-01,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-01,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-02,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-02,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-03,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-03,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-04,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-04,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-05,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-05,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-08,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-08,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-09,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-09,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-10,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-10,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-11,162411.SZ,华宝油气,0.25,0.5,0.5
2021-11-11,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-12,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-12,518880.SH,黄金,0.25,0.5,0.5
2021-11-15,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-15,518880.SH,黄金,0.25,0.5,0.5
2021-11-16,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-16,518880.SH,黄金,0.25,0.5,0.5
2021-11-17,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-17,518880.SH,黄金,0.25,0.5,0.5
2021-11-18,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-18,588000.SH,科创50,0.25,0.5,0.5
2021-11-19,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-19,588000.SH,科创50,0.25,0.5,0.5
2021-11-22,588000.SH,科创50,0.25,0.5,0.5
2021-11-22,159949.SZ,创业板50,0.25,0.5,0.5
